name,type,flavors,positive_effects,negative_effects,ailment,search
Power Plant,sativa,"Earthy, Pungent, Woody","Relaxed, Euphoric, Happy, Energetic, Uplifted","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Pain, Stress, Headache, Fatigue, Inflammation","Power Plant,Relaxed, Euphoric, Happy, Energetic, Uplifted,Earthy, Pungent, Woody,Depression, Pain, Stress, Headache, Fatigue, Inflammation"
Pre-98 Bubba Kush,indica,"Earthy, Coffee, Pine","Relaxed, Hungry, Euphoric, Happy, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Inflammation","Pre-98 Bubba Kush,Relaxed, Hungry, Euphoric, Happy, Sleepy,Earthy, Coffee, Pine,Depression, Insomnia, Pain, Stress, Inflammation"
Predator Pink,hybrid,"Earthy, Sweet, Berry","Relaxed, Hungry, Euphoric, Happy","Dizzy, Dry Mouth, Dry Eyes","Depression, Stress, Cramps, Nausea, Muscle Spasms","Predator Pink,Relaxed, Hungry, Euphoric, Happy,Earthy, Sweet, Berry,Depression, Stress, Cramps, Nausea, Muscle Spasms"
Presidential OG,indica,"Earthy, Pine, Woody","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Headache, Headaches","Presidential OG,Relaxed, Euphoric, Happy, Uplifted, Sleepy,Earthy, Pine, Woody,Depression, Insomnia, Pain, Stress, Headache, Headaches"
Primus,indica,"Sweet, Citrus, Pungent","Relaxed, Euphoric, Happy, Uplifted","Dry Mouth, Dry Eyes","Depression, Insomnia, Pain, Stress, Lack of Appetite","Primus,Relaxed, Euphoric, Happy, Uplifted,Sweet, Citrus, Pungent,Depression, Insomnia, Pain, Stress, Lack of Appetite"
Princess’s Tiara,hybrid,"Earthy, Sweet","Happy, Energetic, Talkative, Uplifted, Giggly",Not Available,"Depression, Stress, Fatigue","Princess’s Tiara,Happy, Energetic, Talkative, Uplifted, Giggly,Earthy, Sweet,Depression, Stress, Fatigue"
Professor Chaos,hybrid,"Citrus, Pine, Pungent","Relaxed, Happy, Creative, Energetic, Uplifted",Dry Eyes,"Depression, Insomnia, Pain, Stress, Headaches","Professor Chaos,Relaxed, Happy, Creative, Energetic, Uplifted,Citrus, Pine, Pungent,Depression, Insomnia, Pain, Stress, Headaches"
Project Blue Book,hybrid,"Berry, Sweet, Earthy","Euphoric, Happy, Creative, Uplifted, Focused","Dry Mouth, Dry Eyes, Anxious","Depression, Pain, Stress, Inflammation, Muscle Spasms","Project Blue Book,Euphoric, Happy, Creative, Uplifted, Focused,Berry, Sweet, Earthy,Depression, Pain, Stress, Inflammation, Muscle Spasms"
Proper BHO Shatter,indica,"Butter, Woody, Berry","Relaxed, Euphoric, Creative, Energetic, Focused","Dry Mouth, Paranoid, Anxious",,"Proper BHO Shatter,Relaxed, Euphoric, Creative, Energetic, Focused,Butter, Woody, Berry,"
Puna Buddaz,indica,"Tropical, Pungent, Skunk","Happy, Creative, Uplifted","Dizzy, Dry Eyes, Anxious","Pain, Stress, Cramps, Lack of Appetite, Inflammation","Puna Buddaz,Happy, Creative, Uplifted,Tropical, Pungent, Skunk,Pain, Stress, Cramps, Lack of Appetite, Inflammation"
Puna Budder,hybrid,"Pine, Skunk, Tropical","Euphoric, Happy, Energetic, Uplifted, Giggly",Not Available,"Stress, Cramps, Lack of Appetite, Nausea, Muscle Spasms","Puna Budder,Euphoric, Happy, Energetic, Uplifted, Giggly,Pine, Skunk, Tropical,Stress, Cramps, Lack of Appetite, Nausea, Muscle Spasms"
Punky Lion,indica,"Earthy, Woody, Sweet","Relaxed, Hungry, Euphoric, Sleepy","Dry Mouth, Paranoid","Pain, Stress, Inflammation, Spasticity, Muscle Spasms","Punky Lion,Relaxed, Hungry, Euphoric, Sleepy,Earthy, Woody, Sweet,Pain, Stress, Inflammation, Spasticity, Muscle Spasms"
Pure Afghan,indica,"Earthy, Woody, Pungent","Relaxed, Hungry, Euphoric, Happy, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Muscle Spasms","Pure Afghan,Relaxed, Hungry, Euphoric, Happy, Sleepy,Earthy, Woody, Pungent,Depression, Insomnia, Pain, Stress, Muscle Spasms"
Pure Kush,indica,"Earthy, Skunk, Pungent","Relaxed, Hungry, Euphoric, Happy, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Insomnia, Stress, Cramps, Lack of Appetite, Nausea, Headache","Pure Kush,Relaxed, Hungry, Euphoric, Happy, Sleepy,Earthy, Skunk, Pungent,Insomnia, Stress, Cramps, Lack of Appetite, Nausea, Headache"
Pure OG,indica,"Earthy, Pine, Flowery","Relaxed, Hungry, Euphoric, Happy, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Insomnia, Pain, Stress, Nausea, Headache, Inflammation","Pure OG,Relaxed, Hungry, Euphoric, Happy, Sleepy,Earthy, Pine, Flowery,Insomnia, Pain, Stress, Nausea, Headache, Inflammation"
Pure Power Plant,hybrid,"Citrus, Earthy, Pungent","Relaxed, Happy, Creative, Energetic, Focused","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Headache, Fatigue, Headaches","Pure Power Plant,Relaxed, Happy, Creative, Energetic, Focused,Citrus, Earthy, Pungent,Depression, Pain, Stress, Headache, Fatigue, Headaches"
Purple AK-47,hybrid,"Pine, Pungent, Sweet","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Headache, Muscle Spasms","Purple AK-47,Relaxed, Euphoric, Happy, Uplifted, Sleepy,Pine, Pungent, Sweet,Depression, Insomnia, Pain, Stress, Headache, Muscle Spasms"
Purple Afghani,indica,"Spicy/Herbal, Grape, Earthy","Relaxed, Hungry, Happy, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Insomnia, Pain, Stress, Headache, Fatigue, Headaches","Purple Afghani,Relaxed, Hungry, Happy, Sleepy,Spicy/Herbal, Grape, Earthy,Insomnia, Pain, Stress, Headache, Fatigue, Headaches"
Purple Alien OG,hybrid,"Sweet, Earthy, Berry","Relaxed, Hungry, Euphoric, Sleepy, Focused","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Nausea","Purple Alien OG,Relaxed, Hungry, Euphoric, Sleepy, Focused,Sweet, Earthy, Berry,Depression, Insomnia, Pain, Stress, Nausea"
Purple Arrow,hybrid,"Earthy, Sweet, Citrus","Happy, Energetic, Uplifted, Sleepy, Focused","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Headache, Headaches, Muscle Spasms","Purple Arrow,Happy, Energetic, Uplifted, Sleepy, Focused,Earthy, Sweet, Citrus,Depression, Pain, Stress, Headache, Headaches, Muscle Spasms"
Purple Berry,indica,"Berry, Blueberry, Sweet","Relaxed, Hungry, Euphoric, Happy, Sleepy","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Lack of Appetite","Purple Berry,Relaxed, Hungry, Euphoric, Happy, Sleepy,Berry, Blueberry, Sweet,Depression, Insomnia, Pain, Stress, Lack of Appetite"
Purple Bubba,indica,"Berry, Grape, Earthy","Relaxed, Hungry, Happy, Tingly, Sleepy","Dry Mouth, Dry Eyes","Lack of Appetite, Fatigue, Eye Pressure, Inflammation, Muscle Spasms","Purple Bubba,Relaxed, Hungry, Happy, Tingly, Sleepy,Berry, Grape, Earthy,Lack of Appetite, Fatigue, Eye Pressure, Inflammation, Muscle Spasms"
Purple Bud,indica,"Sweet, Pine, Citrus","Relaxed, Euphoric, Happy, Talkative, Sleepy","Dizzy, Dry Mouth, Dry Eyes","Depression, Pain, Stress, Eye Pressure, Muscle Spasms","Purple Bud,Relaxed, Euphoric, Happy, Talkative, Sleepy,Sweet, Pine, Citrus,Depression, Pain, Stress, Eye Pressure, Muscle Spasms"
Purple Buddha,indica,"Berry, Sweet, Grape","Relaxed, Euphoric, Happy, Creative, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Headache, Headaches","Purple Buddha,Relaxed, Euphoric, Happy, Creative, Uplifted,Berry, Sweet, Grape,Depression, Insomnia, Pain, Stress, Headache, Headaches"
Purple Bush,indica,"Berry, Sweet, Flowery","Relaxed, Euphoric, Creative, Sleepy, Focused",Dry Mouth,"Depression, Insomnia, Pain, Stress, Lack of Appetite","Purple Bush,Relaxed, Euphoric, Creative, Sleepy, Focused,Berry, Sweet, Flowery,Depression, Insomnia, Pain, Stress, Lack of Appetite"
Purple Candy,indica,"Sweet, Grape, Earthy","Relaxed, Hungry, Euphoric, Happy, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Headache, Muscle Spasms","Purple Candy,Relaxed, Hungry, Euphoric, Happy, Sleepy,Sweet, Grape, Earthy,Depression, Insomnia, Pain, Stress, Headache, Muscle Spasms"
Purple Champagne,sativa,"Berry, Sweet, Grape","Relaxed, Euphoric, Happy, Uplifted, Focused",Dry Mouth,"Depression, Pain, Stress, Fatigue, Headaches","Purple Champagne,Relaxed, Euphoric, Happy, Uplifted, Focused,Berry, Sweet, Grape,Depression, Pain, Stress, Fatigue, Headaches"
Purple Cheddar,indica,"Grape, Sweet, Pungent","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dizzy, Dry Mouth, Paranoid","Depression, Insomnia, Pain, Stress, Headache, Headaches","Purple Cheddar,Relaxed, Euphoric, Happy, Uplifted, Sleepy,Grape, Sweet, Pungent,Depression, Insomnia, Pain, Stress, Headache, Headaches"
Purple Cheese,hybrid,"Cheese, Earthy, Grape","Relaxed, Euphoric, Happy, Creative, Uplifted","Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Headache, Headaches","Purple Cheese,Relaxed, Euphoric, Happy, Creative, Uplifted,Cheese, Earthy, Grape,Depression, Insomnia, Pain, Stress, Headache, Headaches"
Purple Chemdawg,indica,"Grape, Earthy, Sweet","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Headache, Headaches","Purple Chemdawg,Relaxed, Euphoric, Happy, Uplifted, Sleepy,Grape, Earthy, Sweet,Depression, Insomnia, Pain, Stress, Headache, Headaches"
Purple Cotton Candy,indica,"Earthy, Berry, Sweet","Relaxed, Euphoric, Happy, Uplifted","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Insomnia, Stress, Lack of Appetite, Headache, Eye Pressure","Purple Cotton Candy,Relaxed, Euphoric, Happy, Uplifted,Earthy, Berry, Sweet,Depression, Insomnia, Stress, Lack of Appetite, Headache, Eye Pressure"
Purple Cow,sativa,"Berry, Mango, Sweet","Euphoric, Uplifted, Focused",Not Available,Fatigue,"Purple Cow,Euphoric, Uplifted, Focused,Berry, Mango, Sweet,Fatigue"
Purple Crack,hybrid,"Earthy, Pungent, Sweet","Relaxed, Euphoric, Happy, Creative, Uplifted",Dry Mouth,"Depression, Insomnia, Pain, Stress, Headaches","Purple Crack,Relaxed, Euphoric, Happy, Creative, Uplifted,Earthy, Pungent, Sweet,Depression, Insomnia, Pain, Stress, Headaches"
Purple Cream,indica,"Pine, Tropical, Rose","Relaxed, Hungry, Tingly, Sleepy","Dizzy, Dry Mouth, Paranoid, Anxious","Depression, Insomnia, Stress, Headache, Fatigue, Headaches","Purple Cream,Relaxed, Hungry, Tingly, Sleepy,Pine, Tropical, Rose,Depression, Insomnia, Stress, Headache, Fatigue, Headaches"
Purple Diesel,hybrid,"Diesel, Sweet, Grape","Relaxed, Euphoric, Happy, Energetic, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Fatigue, Muscle Spasms","Purple Diesel,Relaxed, Euphoric, Happy, Energetic, Uplifted,Diesel, Sweet, Grape,Depression, Pain, Stress, Fatigue, Muscle Spasms"
Purple Dog Shit,hybrid,"Grape, Pungent, Earthy","Relaxed, Hungry, Euphoric, Happy, Uplifted","Dry Mouth, Dry Eyes","Depression, Insomnia, Stress, Lack of Appetite, Fatigue","Purple Dog Shit,Relaxed, Hungry, Euphoric, Happy, Uplifted,Grape, Pungent, Earthy,Depression, Insomnia, Stress, Lack of Appetite, Fatigue"
Purple Dragon,indica,"Sweet, Flowery, Earthy","Relaxed, Euphoric, Happy, Sleepy, Giggly","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Lack of Appetite","Purple Dragon,Relaxed, Euphoric, Happy, Sleepy, Giggly,Sweet, Flowery, Earthy,Depression, Insomnia, Pain, Stress, Lack of Appetite"
Purple Dream,hybrid,"Grape, Sweet, Berry","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache","Purple Dream,Relaxed, Euphoric, Happy, Uplifted, Sleepy,Grape, Sweet, Berry,Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache"
Purple Elephant,indica,"Earthy, Sweet, Pungent","Relaxed, Euphoric, Happy, Tingly, Sleepy",Dry Mouth,"Depression, Insomnia, Pain, Stress, Lack of Appetite","Purple Elephant,Relaxed, Euphoric, Happy, Tingly, Sleepy,Earthy, Sweet, Pungent,Depression, Insomnia, Pain, Stress, Lack of Appetite"
Purple Goat,hybrid,"Berry, Earthy, Sweet","Happy, Creative, Energetic, Uplifted, Focused",Not Available,"Depression, Insomnia, Pain, Stress","Purple Goat,Happy, Creative, Energetic, Uplifted, Focused,Berry, Earthy, Sweet,Depression, Insomnia, Pain, Stress"
Purple Goo,indica,"Flowery, Sweet, Lavender","Relaxed, Hungry, Euphoric, Happy, Talkative","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Headache, Headaches","Purple Goo,Relaxed, Hungry, Euphoric, Happy, Talkative,Flowery, Sweet, Lavender,Depression, Insomnia, Pain, Stress, Headache, Headaches"
Purple Gorilla,hybrid,"Sweet, Grape, Earthy","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dizzy, Dry Mouth, Dry Eyes, Anxious","Insomnia, Pain, Stress, Nausea, Headache, Muscle Spasms","Purple Gorilla,Relaxed, Euphoric, Happy, Uplifted, Sleepy,Sweet, Grape, Earthy,Insomnia, Pain, Stress, Nausea, Headache, Muscle Spasms"
Purple Hashplant,hybrid,"Earthy, Sweet, Berry","Relaxed, Euphoric, Happy, Creative, Tingly","Dry Mouth, Dry Eyes","Depression, Insomnia, Stress, Lack of Appetite, Nausea, Headache","Purple Hashplant,Relaxed, Euphoric, Happy, Creative, Tingly,Earthy, Sweet, Berry,Depression, Insomnia, Stress, Lack of Appetite, Nausea, Headache"
Purple Haze,sativa,"Sweet, Earthy, Berry","Relaxed, Euphoric, Happy, Creative, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Fatigue, Headaches","Purple Haze,Relaxed, Euphoric, Happy, Creative, Uplifted,Sweet, Earthy, Berry,Depression, Pain, Stress, Fatigue, Headaches"
Purple Headband,hybrid,"Berry, Pungent, Earthy","Relaxed, Euphoric, Happy, Creative, Uplifted","Dry Mouth, Dry Eyes","Depression, Insomnia, Pain, Stress, Headaches","Purple Headband,Relaxed, Euphoric, Happy, Creative, Uplifted,Berry, Pungent, Earthy,Depression, Insomnia, Pain, Stress, Headaches"
Purple Hindu Kush,indica,"Earthy, Berry, Sweet","Relaxed, Hungry, Euphoric, Happy, Sleepy","Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache","Purple Hindu Kush,Relaxed, Hungry, Euphoric, Happy, Sleepy,Earthy, Berry, Sweet,Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache"
Purple Ice,hybrid,"Sweet, Earthy, Berry","Relaxed, Euphoric, Happy, Creative, Tingly","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Nausea, Headache","Purple Ice,Relaxed, Euphoric, Happy, Creative, Tingly,Sweet, Earthy, Berry,Depression, Insomnia, Pain, Stress, Nausea, Headache"
Purple Jack,hybrid,"Pine, Sweet, Citrus","Relaxed, Euphoric, Creative, Uplifted, Focused","Dizzy, Dry Mouth, Dry Eyes","Depression, Insomnia, Pain, Stress, Headache, Fatigue","Purple Jack,Relaxed, Euphoric, Creative, Uplifted, Focused,Pine, Sweet, Citrus,Depression, Insomnia, Pain, Stress, Headache, Fatigue"
Purple Jolly Rancher,indica,"Tropical, Citrus, Spicy/Herbal","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dry Mouth, Dry Eyes, Anxious","Depression, Insomnia, Pain, Nausea, Headaches","Purple Jolly Rancher,Relaxed, Euphoric, Happy, Uplifted, Sleepy,Tropical, Citrus, Spicy/Herbal,Depression, Insomnia, Pain, Nausea, Headaches"
Purple Kush,indica,"Earthy, Grape, Sweet","Relaxed, Hungry, Euphoric, Happy, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache","Purple Kush,Relaxed, Hungry, Euphoric, Happy, Sleepy,Earthy, Grape, Sweet,Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache"
Purple Martian Kush,indica,"Berry, Sweet, Grape","Relaxed, Euphoric, Creative, Tingly","Dry Mouth, Dry Eyes","Depression, Insomnia, Pain, Stress, Headaches","Purple Martian Kush,Relaxed, Euphoric, Creative, Tingly,Berry, Sweet, Grape,Depression, Insomnia, Pain, Stress, Headaches"
Purple Maui,hybrid,"Grape, Pine, Earthy","Relaxed, Happy, Energetic, Uplifted, Focused","Paranoid, Anxious","Depression, Stress, Nausea, Fatigue, Headaches","Purple Maui,Relaxed, Happy, Energetic, Uplifted, Focused,Grape, Pine, Earthy,Depression, Stress, Nausea, Fatigue, Headaches"
Purple Monkey Balls,indica,"Grape, Earthy, Sweet","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dry Mouth, Paranoid, Anxious","Insomnia, Pain, Stress, Lack of Appetite, Headaches","Purple Monkey Balls,Relaxed, Euphoric, Happy, Uplifted, Sleepy,Grape, Earthy, Sweet,Insomnia, Pain, Stress, Lack of Appetite, Headaches"
Purple Mr. Nice,indica,"Earthy, Grape, Sweet","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Nausea, Headache","Purple Mr. Nice,Relaxed, Euphoric, Happy, Uplifted, Sleepy,Earthy, Grape, Sweet,Depression, Insomnia, Pain, Stress, Nausea, Headache"
Purple Nepal,indica,"Pungent, Grape, Berry","Relaxed, Happy, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Headache, Headaches","Purple Nepal,Relaxed, Happy, Sleepy,Pungent, Grape, Berry,Depression, Insomnia, Pain, Stress, Headache, Headaches"
Purple OG Kush,indica,"Grape, Pungent, Sweet","Relaxed, Hungry, Euphoric, Happy, Sleepy","Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Cramps, Lack of Appetite, Headache","Purple OG Kush,Relaxed, Hungry, Euphoric, Happy, Sleepy,Grape, Pungent, Sweet,Depression, Pain, Stress, Cramps, Lack of Appetite, Headache"
Purple Panty Dropper,indica,"Grape, Berry, Pungent","Relaxed, Euphoric, Happy, Giggly, Aroused","Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Headaches, Muscle Spasms","Purple Panty Dropper,Relaxed, Euphoric, Happy, Giggly, Aroused,Grape, Berry, Pungent,Depression, Pain, Stress, Headaches, Muscle Spasms"
Purple Paralysis,hybrid,"Earthy, Lavender, Honey","Relaxed, Euphoric, Sleepy",Dry Mouth,"Depression, Insomnia, Pain, Stress, Headache, Muscle Spasms","Purple Paralysis,Relaxed, Euphoric, Sleepy,Earthy, Lavender, Honey,Depression, Insomnia, Pain, Stress, Headache, Muscle Spasms"
Purple Passion,indica,"Earthy, Spicy/Herbal, Flowery","Relaxed, Happy, Creative, Sleepy, Giggly","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Insomnia, Pain, Stress, Lack of Appetite, Headache, Muscle Spasms","Purple Passion,Relaxed, Happy, Creative, Sleepy, Giggly,Earthy, Spicy/Herbal, Flowery,Insomnia, Pain, Stress, Lack of Appetite, Headache, Muscle Spasms"
Purple People Eater,indica,Grape,"Relaxed, Euphoric, Creative, Uplifted, Focused",Not Available,"Depression, Stress","Purple People Eater,Relaxed, Euphoric, Creative, Uplifted, Focused,Grape,Depression, Stress"
Purple Power,sativa,"Earthy, Lavender, Sweet","Relaxed, Happy, Energetic, Talkative, Uplifted",Not Available,"Depression, Stress, Cramps, Lack of Appetite, Headaches","Purple Power,Relaxed, Happy, Energetic, Talkative, Uplifted,Earthy, Lavender, Sweet,Depression, Stress, Cramps, Lack of Appetite, Headaches"
Purple Princess,hybrid,"Sweet, Earthy, Flowery","Relaxed, Hungry, Euphoric, Uplifted, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Fatigue","Purple Princess,Relaxed, Hungry, Euphoric, Uplifted, Sleepy,Sweet, Earthy, Flowery,Depression, Insomnia, Pain, Stress, Fatigue"
Purple Punch,indica,"Sweet, Grape, Berry","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dry Mouth, Dry Eyes","Depression, Insomnia, Pain, Stress, Nausea","Purple Punch,Relaxed, Euphoric, Happy, Uplifted, Sleepy,Sweet, Grape, Berry,Depression, Insomnia, Pain, Stress, Nausea"
Purple Rhino,hybrid,"Sweet, Berry, Pine","Relaxed, Hungry, Euphoric, Happy, Tingly","Dizzy, Dry Mouth, Dry Eyes","Depression, Insomnia, Pain, Stress, Lack of Appetite","Purple Rhino,Relaxed, Hungry, Euphoric, Happy, Tingly,Sweet, Berry, Pine,Depression, Insomnia, Pain, Stress, Lack of Appetite"
Purple Sage ,hybrid,"Sage, Sweet, Earthy","Euphoric, Happy, Creative, Uplifted, Aroused","Dry Mouth, Dry Eyes","Depression, Insomnia, Pain, Stress, Fatigue","Purple Sage ,Euphoric, Happy, Creative, Uplifted, Aroused,Sage, Sweet, Earthy,Depression, Insomnia, Pain, Stress, Fatigue"
Purple Skunk,hybrid,"Earthy, Pungent, Skunk","Happy, Creative, Focused, Giggly","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Stress, Lack of Appetite, Headache, Headaches, Muscle Spasms","Purple Skunk,Happy, Creative, Focused, Giggly,Earthy, Pungent, Skunk,Depression, Stress, Lack of Appetite, Headache, Headaches, Muscle Spasms"
Purple Sour Diesel,hybrid,"Diesel, Grape, Pungent","Relaxed, Euphoric, Happy, Uplifted","Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Headache, Eye Pressure, Inflammation","Purple Sour Diesel,Relaxed, Euphoric, Happy, Uplifted,Diesel, Grape, Pungent,Depression, Pain, Stress, Headache, Eye Pressure, Inflammation"
Purple Star,indica,"Berry, Citrus, Pine","Hungry, Tingly, Sleepy","Dry Mouth, Anxious","Depression, Insomnia, Pain, Headaches, Muscle Spasms","Purple Star,Hungry, Tingly, Sleepy,Berry, Citrus, Pine,Depression, Insomnia, Pain, Headaches, Muscle Spasms"
Purple Swish,indica,Sweet,"Relaxed, Hungry, Sleepy, Giggly",Not Available,,"Purple Swish,Relaxed, Hungry, Sleepy, Giggly,Sweet,"
Purple Tangie,sativa,"Citrus, Orange, Sweet","Relaxed, Euphoric, Happy, Uplifted, Giggly",Dry Mouth,"Depression, Pain, Stress, Lack of Appetite, Headache, Fatigue","Purple Tangie,Relaxed, Euphoric, Happy, Uplifted, Giggly,Citrus, Orange, Sweet,Depression, Pain, Stress, Lack of Appetite, Headache, Fatigue"
Purple Tears,hybrid,"Berry, Diesel, Pungent","Relaxed, Hungry, Happy, Sleepy",Dry Mouth,"Depression, Insomnia, Cramps, Headaches, Eye Pressure","Purple Tears,Relaxed, Hungry, Happy, Sleepy,Berry, Diesel, Pungent,Depression, Insomnia, Cramps, Headaches, Eye Pressure"
Purple Thai,sativa,"Earthy, Citrus, Sweet","Relaxed, Euphoric, Happy, Creative, Uplifted",Not Available,"Depression, Pain, Stress, Fatigue, Headaches","Purple Thai,Relaxed, Euphoric, Happy, Creative, Uplifted,Earthy, Citrus, Sweet,Depression, Pain, Stress, Fatigue, Headaches"
Purple Tonic,indica,"Blueberry, Nutty, Tree Fruit","Relaxed, Euphoric, Happy, Energetic, Uplifted","Dry Mouth, Dry Eyes","Depression, Insomnia, Pain, Stress","Purple Tonic,Relaxed, Euphoric, Happy, Energetic, Uplifted,Blueberry, Nutty, Tree Fruit,Depression, Insomnia, Pain, Stress"
Purple Trainwreck,hybrid,"Earthy, Grape, Berry","Relaxed, Hungry, Euphoric, Happy, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Headache, Muscle Spasms","Purple Trainwreck,Relaxed, Hungry, Euphoric, Happy, Uplifted,Earthy, Grape, Berry,Depression, Insomnia, Pain, Stress, Headache, Muscle Spasms"
Purple Urkle,indica,"Sweet, Berry, Grape","Relaxed, Hungry, Euphoric, Happy, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Headaches","Purple Urkle,Relaxed, Hungry, Euphoric, Happy, Sleepy,Sweet, Berry, Grape,Depression, Insomnia, Pain, Stress, Headaches"
Purple Voodoo,hybrid,"Berry, Pungent, Flowery","Relaxed, Euphoric, Happy, Creative, Energetic","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Lack of Appetite, Headache, Inflammation","Purple Voodoo,Relaxed, Euphoric, Happy, Creative, Energetic,Berry, Pungent, Flowery,Depression, Pain, Stress, Lack of Appetite, Headache, Inflammation"
Purple Widow,hybrid,"Earthy, Woody, Diesel","Relaxed, Happy, Creative, Focused","Dry Mouth, Dry Eyes","Depression, Pain, Stress, Lack of Appetite, Inflammation","Purple Widow,Relaxed, Happy, Creative, Focused,Earthy, Woody, Diesel,Depression, Pain, Stress, Lack of Appetite, Inflammation"
Purple Wreck,indica,"Grape, Sweet, Earthy","Relaxed, Euphoric, Happy, Creative, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Muscle Spasms","Purple Wreck,Relaxed, Euphoric, Happy, Creative, Sleepy,Grape, Sweet, Earthy,Depression, Insomnia, Pain, Stress, Muscle Spasms"
Q3,sativa,"Tree Fruit, Apple, Apricot","Happy, Uplifted, Tingly, Giggly","Dry Mouth, Dry Eyes","Depression, Insomnia, Pain, Stress","Q3,Happy, Uplifted, Tingly, Giggly,Tree Fruit, Apple, Apricot,Depression, Insomnia, Pain, Stress"
Qleaner,hybrid,"Citrus, Tropical, Chemical","Euphoric, Happy, Creative, Energetic, Uplifted","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Pain, Stress, Nausea, Headache, Headaches","Qleaner,Euphoric, Happy, Creative, Energetic, Uplifted,Citrus, Tropical, Chemical,Depression, Pain, Stress, Nausea, Headache, Headaches"
