name,type,flavors,positive_effects,negative_effects,ailment,search
Haze,sativa,"Earthy, Sweet, Woody","Euphoric, Happy, Creative, Energetic, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Lack of Appetite, Fatigue","Haze,Euphoric, Happy, Creative, Energetic, Uplifted,Earthy, Sweet, Woody,Depression, Pain, Stress, Lack of Appetite, Fatigue"
Haze Berry,sativa,"Sweet, Blueberry, Berry","Relaxed, Happy, Energetic, Uplifted, Giggly","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Cramps, Fatigue","Haze Berry,Relaxed, Happy, Energetic, Uplifted, Giggly,Sweet, Blueberry, Berry,Depression, Pain, Stress, Cramps, Fatigue"
Haze Heaven,hybrid,"Pungent, Spicy/Herbal, Blueberry","Happy, Creative, Energetic, Talkative, Uplifted","Dry Mouth, Anxious","Depression, Pain, Stress, Fatigue, Inflammation","Haze Heaven,Happy, Creative, Energetic, Talkative, Uplifted,Pungent, Spicy/Herbal, Blueberry,Depression, Pain, Stress, Fatigue, Inflammation"
Haze Wreck,sativa,"Skunk, Sweet, Cheese","Euphoric, Happy, Creative, Uplifted, Focused","Dizzy, Dry Mouth","Depression, Pain, Stress, Lack of Appetite, Nausea","Haze Wreck,Euphoric, Happy, Creative, Uplifted, Focused,Skunk, Sweet, Cheese,Depression, Pain, Stress, Lack of Appetite, Nausea"
Head Cheese,hybrid,"Cheese, Pungent, Earthy","Relaxed, Euphoric, Happy, Creative, Uplifted","Dry Mouth, Dry Eyes, Anxious","Depression, Pain, Stress, Headache, Inflammation, Muscle Spasms","Head Cheese,Relaxed, Euphoric, Happy, Creative, Uplifted,Cheese, Pungent, Earthy,Depression, Pain, Stress, Headache, Inflammation, Muscle Spasms"
Head Trip,hybrid,"Earthy, Spicy/Herbal, Coffee","Relaxed, Happy, Uplifted, Sleepy, Focused",Not Available,"Depression, Insomnia, Pain, Stress, Headaches","Head Trip,Relaxed, Happy, Uplifted, Sleepy, Focused,Earthy, Spicy/Herbal, Coffee,Depression, Insomnia, Pain, Stress, Headaches"
Headband,hybrid,"Earthy, Pungent, Diesel","Relaxed, Euphoric, Happy, Creative, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Fatigue, Headaches","Headband,Relaxed, Euphoric, Happy, Creative, Uplifted,Earthy, Pungent, Diesel,Depression, Pain, Stress, Fatigue, Headaches"
Headbanger,hybrid,"Diesel, Skunk, Sweet","Relaxed, Sleepy, Giggly","Dizzy, Dry Mouth, Dry Eyes","Depression, Pain, Stress, Lack of Appetite, Headache, Headaches","Headbanger,Relaxed, Sleepy, Giggly,Diesel, Skunk, Sweet,Depression, Pain, Stress, Lack of Appetite, Headache, Headaches"
Heaven Scent,hybrid,"Flowery, Minty, Pungent","Euphoric, Creative, Energetic, Focused",Dry Mouth,,"Heaven Scent,Euphoric, Creative, Energetic, Focused,Flowery, Minty, Pungent,"
Heavy Duty Fruity,hybrid,"Sweet, Flowery, Berry","Relaxed, Euphoric, Happy, Tingly, Sleepy","Dizzy, Dry Mouth, Dry Eyes","Depression, Insomnia, Pain, Stress, Nausea, Headache","Heavy Duty Fruity,Relaxed, Euphoric, Happy, Tingly, Sleepy,Sweet, Flowery, Berry,Depression, Insomnia, Pain, Stress, Nausea, Headache"
Heisenberg Kush,sativa,"Strawberry, Sweet, Grape","Relaxed, Euphoric, Happy, Energetic, Uplifted",Dry Mouth,"Depression, Pain, Stress, Fatigue, Eye Pressure","Heisenberg Kush,Relaxed, Euphoric, Happy, Energetic, Uplifted,Strawberry, Sweet, Grape,Depression, Pain, Stress, Fatigue, Eye Pressure"
Hell Raiser OG,hybrid,"Citrus, Pine, Spicy/Herbal","Relaxed, Euphoric, Happy, Talkative, Uplifted",Dry Eyes,"Depression, Pain, Stress, Headache","Hell Raiser OG,Relaxed, Euphoric, Happy, Talkative, Uplifted,Citrus, Pine, Spicy/Herbal,Depression, Pain, Stress, Headache"
Hell's Angel OG,hybrid,"Earthy, Pine, Sweet","Relaxed, Hungry, Euphoric, Happy, Creative","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Nausea, Headache","Hell's Angel OG,Relaxed, Hungry, Euphoric, Happy, Creative,Earthy, Pine, Sweet,Depression, Insomnia, Pain, Stress, Nausea, Headache"
Hellfire OG,hybrid,"Earthy, Citrus, Pungent","Relaxed, Hungry, Euphoric, Happy, Sleepy",Dry Mouth,"Depression, Insomnia, Pain, Stress, Inflammation","Hellfire OG,Relaxed, Hungry, Euphoric, Happy, Sleepy,Earthy, Citrus, Pungent,Depression, Insomnia, Pain, Stress, Inflammation"
Hemlock,hybrid,"Earthy, Sweet, Citrus","Relaxed, Happy, Creative, Uplifted, Focused","Dry Mouth, Dry Eyes","Depression, Pain, Stress, Nausea, Fatigue","Hemlock,Relaxed, Happy, Creative, Uplifted, Focused,Earthy, Sweet, Citrus,Depression, Pain, Stress, Nausea, Fatigue"
Hempstar,sativa,"Woody, Pungent, Sweet","Euphoric, Happy, Creative, Energetic, Uplifted","Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Lack of Appetite, Nausea, Headache","Hempstar,Euphoric, Happy, Creative, Energetic, Uplifted,Woody, Pungent, Sweet,Depression, Pain, Stress, Lack of Appetite, Nausea, Headache"
Hercules,hybrid,"Earthy, Sweet, Citrus","Happy, Creative, Energetic, Focused, Giggly",Not Available,"Insomnia, Stress, Eye Pressure","Hercules,Happy, Creative, Energetic, Focused, Giggly,Earthy, Sweet, Citrus,Insomnia, Stress, Eye Pressure"
Herijuana,indica,"Earthy, Spicy/Herbal, Woody","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Headache, Headaches","Herijuana,Relaxed, Euphoric, Happy, Uplifted, Sleepy,Earthy, Spicy/Herbal, Woody,Depression, Insomnia, Pain, Stress, Headache, Headaches"
Hibiscus Sunrise,hybrid,"Flowery, Lavender, Earthy","Relaxed, Euphoric, Happy, Energetic, Uplifted","Dry Mouth, Anxious","Depression, Stress, Nausea, Fatigue, Headaches","Hibiscus Sunrise,Relaxed, Euphoric, Happy, Energetic, Uplifted,Flowery, Lavender, Earthy,Depression, Stress, Nausea, Fatigue, Headaches"
Higher Power,sativa,"Grape, Flowery, Tree Fruit","Relaxed, Happy, Creative, Uplifted, Focused",Not Available,"Depression, Insomnia, Stress, Lack of Appetite, Headaches","Higher Power,Relaxed, Happy, Creative, Uplifted, Focused,Grape, Flowery, Tree Fruit,Depression, Insomnia, Stress, Lack of Appetite, Headaches"
Highwayman,hybrid,"Flowery, Earthy, Sweet","Relaxed, Euphoric, Happy, Focused, Giggly",Not Available,"Lack of Appetite, Nausea, Fatigue, Headaches, Eye Pressure","Highwayman,Relaxed, Euphoric, Happy, Focused, Giggly,Flowery, Earthy, Sweet,Lack of Appetite, Nausea, Fatigue, Headaches, Eye Pressure"
Himalayan Blackberry,indica,"Berry, Blueberry, Flowery","Relaxed, Euphoric, Happy, Tingly, Sleepy","Dry Mouth, Dry Eyes","Depression, Insomnia, Stress, Lack of Appetite, Headaches","Himalayan Blackberry,Relaxed, Euphoric, Happy, Tingly, Sleepy,Berry, Blueberry, Flowery,Depression, Insomnia, Stress, Lack of Appetite, Headaches"
